[-1000000, 1000000] max = 1000000
[-10110, 0] max = 0
[0, 1] max = 111111111
[1, 1] max = 111111111
[1, 10] max = 431
[2, 8] max = 60
[9, 11] max = 60
[17, 20] max = 60
[23, 45] max = 60
[41, 52] max = 60
[57, 60] max = 60
[104, 132] max = 431
[223, 431] max = 431
[500, 1000] max = 9234
[756, 899] max = 9234
[907, 1010] max = 9234
[1200, 2345] max = 9234
[3127, 3543] max = 9234
[3564, 3764] max = 9234
[4203, 5272] max = 9234
[5839, 6321] max = 9234
[6323, 6412] max = 9234
[6899, 6999] max = 9234
[7003, 7324] max = 9234
[7598, 7984] max = 9234
[8202, 8606] max = 9234
[8900, 9234] max = 9234
[40000, 111111111] max = 111111111
